50 50
-0.08 -0.11 -0.13 -0.13 -0.10 -0.05 0.00 0.05 0.08 0.09 0.06 -0.00 -0.08 -0.16 -0.23 -0.26 -0.23 -0.14 0.00 0.19 0.41 0.62 0.80 0.92 0.96 0.92 0.80 0.62 0.41 0.19 0.00 -0.14 -0.23 -0.26 -0.23 -0.16 -0.08 -0.00 0.06 0.09 0.08 0.05 0.00 -0.05 -0.10 -0.13 -0.13 -0.11 -0.08 -0.04 
-0.11 -0.15 -0.16 -0.16 -0.13 -0.09 -0.03 0.02 0.05 0.05 0.02 -0.03 -0.11 -0.20 -0.26 -0.29 -0.26 -0.18 -0.03 0.16 0.38 0.59 0.77 0.89 0.93 0.89 0.77 0.59 0.38 0.16 -0.03 -0.18 -0.26 -0.29 -0.26 -0.20 -0.11 -0.03 0.02 0.05 0.05 0.02 -0.03 -0.09 -0.13 -0.16 -0.16 -0.15 -0.11 -0.07 
-0.13 -0.16 -0.18 -0.18 -0.15 -0.10 -0.05 -0.00 0.03 0.04 0.01 -0.05 -0.13 -0.21 -0.28 -0.31 -0.28 -0.19 -0.05 0.14 0.36 0.57 0.75 0.87 0.91 0.87 0.75 0.57 0.36 0.14 -0.05 -0.19 -0.28 -0.31 -0.28 -0.21 -0.13 -0.05 0.01 0.04 0.03 -0.00 -0.05 -0.10 -0.15 -0.18 -0.18 -0.16 -0.13 -0.09 
-0.13 -0.16 -0.18 -0.17 -0.14 -0.10 -0.05 0.00 0.04 0.04 0.01 -0.05 -0.13 -0.21 -0.27 -0.30 -0.28 -0.19 -0.04 0.15 0.36 0.58 0.75 0.87 0.91 0.87 0.75 0.58 0.36 0.15 -0.04 -0.19 -0.28 -0.30 -0.27 -0.21 -0.13 -0.05 0.01 0.04 0.04 0.00 -0.05 -0.10 -0.14 -0.17 -0.18 -0.16 -0.13 -0.09 
-0.10 -0.13 -0.15 -0.14 -0.12 -0.07 -0.02 0.03 0.06 0.07 0.04 -0.02 -0.10 -0.18 -0.25 -0.28 -0.25 -0.16 -0.02 0.18 0.39 0.60 0.78 0.90 0.94 0.90 0.78 0.60 0.39 0.18 -0.02 -0.16 -0.25 -0.28 -0.25 -0.18 -0.10 -0.02 0.04 0.07 0.06 0.03 -0.02 -0.07 -0.12 -0.14 -0.15 -0.13 -0.10 -0.06 
-0.05 -0.09 -0.10 -0.10 -0.07 -0.03 0.03 0.08 0.11 0.11 0.08 0.02 -0.05 -0.14 -0.20 -0.23 -0.20 -0.12 0.03 0.22 0.44 0.65 0.83 0.95 0.99 0.95 0.83 0.65 0.44 0.22 0.03 -0.12 -0.20 -0.23 -0.20 -0.14 -0.05 0.02 0.08 0.11 0.11 0.08 0.03 -0.03 -0.07 -0.10 -0.10 -0.09 -0.05 -0.01 
0.00 -0.03 -0.05 -0.05 -0.02 0.03 0.08 0.13 0.16 0.17 0.14 0.08 -0.00 -0.08 -0.15 -0.18 -0.15 -0.06 0.08 0.27 0.49 0.70 0.88 1.00 1.04 1.00 0.88 0.70 0.49 0.27 0.08 -0.06 -0.15 -0.18 -0.15 -0.08 -0.00 0.08 0.14 0.17 0.16 0.13 0.08 0.03 -0.02 -0.05 -0.05 -0.03 0.00 0.04 
0.05 0.02 -0.00 0.00 0.03 0.08 0.13 0.18 0.21 0.22 0.19 0.13 0.05 -0.03 -0.10 -0.13 -0.10 -0.01 0.13 0.32 0.54 0.75 0.93 1.05 1.09 1.05 0.93 0.75 0.54 0.32 0.13 -0.01 -0.10 -0.13 -0.10 -0.03 0.05 0.13 0.19 0.22 0.21 0.18 0.13 0.08 0.03 0.00 -0.00 0.02 0.05 0.09 
0.08 0.05 0.03 0.04 0.06 0.11 0.16 0.21 0.24 0.25 0.22 0.16 0.08 -0.00 -0.07 -0.09 -0.07 0.02 0.16 0.36 0.57 0.78 0.96 1.08 1.12 1.08 0.96 0.78 0.57 0.36 0.16 0.02 -0.07 -0.09 -0.07 -0.00 0.08 0.16 0.22 0.25 0.24 0.21 0.16 0.11 0.06 0.04 0.03 0.05 0.08 0.12 
0.09 0.05 0.04 0.04 0.07 0.11 0.17 0.22 0.25 0.25 0.22 0.16 0.08 0.00 -0.06 -0.09 -0.07 0.02 0.17 0.36 0.58 0.79 0.97 1.08 1.13 1.08 0.97 0.79 0.58 0.36 0.17 0.02 -0.07 -0.09 -0.06 0.00 0.08 0.16 0.22 0.25 0.25 0.22 0.17 0.11 0.07 0.04 0.04 0.05 0.09 0.13 
